User,Comment,VideoID,Likes,Replies
@craigfrow-kr6pe,I thought Joe saved democracy.  It will be nice seeing ABC and The View eating crow the next 4 years.,Ssqy6u1vREw,0.0,0.0
@cornelisdebilde6850,"I have strong feelings about the political situation in the United States, particularly regarding Donald Trump and Elon Musk. Many people share concerns about their political integrity, election fairness, and the influence of powerful individuals in politics. Trump has never achieved anything honest or fair. Something is not right Trump and Elon Musk had plenty of time to prepare since January 6. This is revenge to avoid prison, Elon wants to have a place in the White House. Elon has the finances, and the resources, and X was constantly promoting and supporting his and Trump&#39;s lies. This election was manipulated by X for sure. There won’t be another election. The founders would be extremely shocked for an insurrectionist running again for president as Trump explained to everybody that he was falsely accused and he was a free man, they believed the conning. They should have stopped this criminal in his tracks. This is worse than the 2020 election! There is more to come.",Ssqy6u1vREw,1.0,3.0
@rgrost1,This is middle finger to all like you David and all the media Whores like you who no longer are relevant...,Ssqy6u1vREw,1.0,0.0
@rachirachi7,More time wouldn&#39;t have helped Harris it actually would have helped Trump . Each time she spoke leading up to the election I believe gained Trump votes and lost Kamala votes . People didn&#39;t need time &quot;to get to know&quot; Kamala she made herself clearly known . Actions speak louder than words her policies were disastrous to America . The people spoke and they said NO MORE !,Ssqy6u1vREw,22.0,1.0
@Leila-cu8ue,The face of David Muir 😂,Ssqy6u1vREw,2.0,0.0
@dennisreed3382,Must kill you to say that. TOLD YOU!!!,Ssqy6u1vREw,0.0,0.0
@sourapplepg3d948,Now they admit that Biden did a horrible job at the debate,Ssqy6u1vREw,0.0,0.0
@alexiades,"ABC worked hard to lose the public’s trust: lies, slander, and Nazi labels. Mission accomplished.",Ssqy6u1vREw,0.0,0.0
@James-r3w7o,Thank the good lord!!!!!!!!!!!!!,Ssqy6u1vREw,0.0,0.0
@dariangregory6182,"It&#39;s my opinion that the Democrats defeated themselves almost clear across the board before any votes were cast. I believe their immoral neo liberal Agendas is why Trump won, he didn&#39;t just win the electorate he won the popular vote too. That hasn&#39;t been done since Bush. I firmly believe that happened because the Democrats lost their way and because of it, a huge chunk of their voters base, that includes me, switched. If that party hadn&#39;t started to look Stnc to me, I would not have chosen Trump. They made Trump look like the lesser evil and probably lost my votes for Life.",Ssqy6u1vREw,0.0,0.0
@magickcat7983,The look of defeat !  Ha!!!!!!!!😂😂😂😂 Trump 2024 🇺🇸,Ssqy6u1vREw,0.0,0.0
@po1266,Finally unburdened by what has been.,Ssqy6u1vREw,3.0,0.0
@PotentPotable5,"Sad that we’re going back to the circus with Trump winning again. What did Rhaenys Targaryen say, &quot;Men would sooner put the realm to the torch than see a woman ascent the Iron Throne.&quot; You’ll be in our thoughts America.",Ssqy6u1vREw,7.0,2.0
@Stiltruejr85,Fake news you ppl look sad and are enemies of the American ppl,Ssqy6u1vREw,0.0,0.0
@MilesSmiles-wu9jv,Kamala said she wouldn’t do nothing different from what Biden did.,Ssqy6u1vREw,0.0,0.0
@Jungledrew31,"The party doesn’t choose, the people do…..and they didn’t lol<br>First time republican voter here",Ssqy6u1vREw,31.0,5.0
@crabie69,Awwww did David Muir cry before he came on the air 😭,Ssqy6u1vREw,0.0,0.0
@AnAbortiveRomance,"The Democrats didn&#39;t do any soul searching after the 2016 election, they just doubled down on the stupid stuff that gave Trump the White House in the first place.  Trump only lost in 2020 because of Covid panic, something that wasn&#39;t his fault.  The Dems will probably try to run Michelle Obama next, another establishment shill, or someone like AOC, and they&#39;ll deserve to lose again.  Oh wait, there won&#39;t be another election because Trump is gonna destroy democracy and set up camps for the LGBT crowd.  ....that&#39;s the kind of stuff that won him this election.",Ssqy6u1vREw,0.0,0.0
@teresamier9370,They keep saying Trump won because  &quot;&quot;The Country was going in the wrong direction&quot;  Trunp won because  Biden/Harris was starving our country and making many of our families homeless while giving millions/billions to foreign countries for their war&#39;s and paying Illegals/invaders to flood the U.S.,Ssqy6u1vREw,0.0,0.0
@kuth_,HOW DO YALL FEEL FOR PUSHING FAKE NARRATIVES AGAINST TRUMP ? HAHA,Ssqy6u1vREw,0.0,0.0
@LissaBroyles,"Of course, rather than self reflect &amp; finally wake up to the FACT that current Democrats have abandoned every core principle of liberalism &amp; became the party of the establishment,  big corporations, &amp; war, the left is just crying racism, sexism, Nazi, homophobic, abortion blah blah blah same sh!t different day... <br>You, your mouthpiece media, &amp; the way you&#39;ve been operating just got rejected both up &amp; down ballot. Do yourselves a favor &amp; actually investigate why that is.",Ssqy6u1vREw,0.0,0.0
@Daiv-l9g,😂😂😂,Ssqy6u1vREw,0.0,0.0
@tr1pl333,Weird how that works when there isn’t a bunch of cheating.,Ssqy6u1vREw,2.0,1.0
@SUNBeili-ur1re,Mainstream media propaganda and the machine behind lost 🤣<br>American people won ❤️❤️❤️,Ssqy6u1vREw,1.0,0.0
